time:timestamp,Activity,Resource,case:concept:name,case:variant-index,time_delta,environment,generalization_value,invariant
2012-03-15 12:56:17,Accepted-Assigned,Minnie,1-109135791,77,0.0016782407407407408,1,200,20
2012-03-15 12:53:52,Accepted-In Progress,Minnie,1-109135791,77,2254.8362268518517,1,200,20
2006-01-11 16:49:42,Queued-Awaiting Assignment,Minnie,1-109135791,77,0.0,1,200,20
2012-03-15 13:09:05,Accepted-In Progress,Minnie,1-109135791,77,0.008888888888888889,1,200,20
2012-03-15 13:11:33,Accepted-Wait,Minnie,1-109135791,77,0.001712962962962963,1,200,20
2006-11-07 11:00:36,Accepted-In Progress,Tomas,1-147898401,78,0.0,1,150,10
2006-11-07 14:05:44,Accepted-In Progress,Tomas,1-147898401,78,0.12856481481481483,1,150,10
2009-12-02 15:24:32,Accepted-Wait,Tomas,1-147898401,78,1121.0547222222222,1,150,10
2011-09-03 08:09:09,Accepted-In Progress,Tomas,1-147898401,78,639.697650462963,1,150,10
2012-01-20 11:23:24,Accepted-In Progress,Carrie,1-147898401,78,139.13489583333333,1,150,10
2012-01-20 11:23:27,Accepted-Assigned,Carrie,1-147898401,78,3.472222222222222e-05,1,150,10
2007-03-20 10:06:25,Accepted-In Progress,Tomas,1-165554831,23,0.0,1,50,5
2009-12-02 15:24:31,Accepted-Wait,Tomas,1-165554831,23,988.2209027777777,1,50,5
2011-09-03 08:10:53,Accepted-In Progress,Tomas,1-165554831,23,639.6988657407408,1,50,5
2012-01-18 09:52:41,Accepted-In Progress,Carrie,1-165554831,23,137.07069444444446,1,50,5
2012-01-18 09:52:43,Completed-Closed,Carrie,1-165554831,23,2.3148148148148147e-05,1,50,5
2007-05-10 17:21:54,Accepted-In Progress,Tomas,1-172473423,23,0.0,1,200,20
2009-12-02 15:24:33,Accepted-Wait,Tomas,1-172473423,23,936.9185069444444,1,200,20
2011-09-03 08:10:59,Accepted-In Progress,Tomas,1-172473423,23,639.6989120370371,1,200,20
2012-01-18 09:20:53,Accepted-In Progress,Carrie,1-172473423,23,137.04854166666667,1,200,20
2012-01-18 09:21:10,Accepted-Wait,Carrie,1-172473423,23,0.00019675925925925926,1,200,20
2007-07-25 15:21:05,Accepted-In Progress,Niklas,1-182640781,37,0.0,1,100,10
2009-12-02 15:24:32,Accepted-Wait,Niklas,1-182640781,37,861.0023958333334,1,100,10
2010-08-25 12:13:01,Queued-Awaiting Assignment,Niklas,1-182640781,37,265.86700231481484,1,100,10
2011-09-05 10:24:13,Accepted-In Progress,Niklas,1-182640781,37,375.9244444444444,1,100,10
2011-11-14 17:10:25,Accepted-Assigned,Niklas,1-182640781,37,70.28208333333333,1,100,10
2012-01-03 12:30:35,Accepted-In Progress,Niklas,1-182640781,37,49.805671296296296,1,100,10
2012-01-03 12:31:53,Accepted-Assigned,Niklas,1-182640781,37,0.0009027777777777777,1,100,10
2008-05-07 19:58:51,Accepted-In Progress,Tomas,1-230541365,79,0.0,1,200,20
2008-10-06 17:44:37,Accepted-In Progress,Tomas,1-230541365,79,151.9067824074074,1,200,20
2009-12-02 15:24:34,Accepted-Wait,Tomas,1-230541365,79,421.90274305555556,1,200,20
2011-09-02 01:27:50,Accepted-In Progress,Tomas,1-230541365,79,638.4189351851852,1,200,20
2011-09-02 01:27:55,Accepted-In Progress,Tomas,1-230541365,79,5.787037037037037e-05,1,200,20
2012-01-20 08:53:32,Accepted-In Progress,Carrie,1-230541365,79,140.30945601851852,1,200,20
2012-01-20 08:53:35,Accepted-Wait,Carrie,1-230541365,79,3.472222222222222e-05,1,200,20
2008-06-04 13:02:18,Accepted-In Progress,Tomas,1-236817141,37,0.0,1,200,20
2009-12-02 15:24:34,Accepted-Wait,Tomas,1-236817141,37,546.0987962962963,1,200,20
2011-11-14 17:09:27,Accepted-Assigned,Niklas,1-236817141,37,72.33837962962963,1,200,20
2011-09-03 09:02:11,Accepted-In Progress,Tomas,1-236817141,37,373.8718287037037,1,200,20
2010-08-25 12:06:45,Queued-Awaiting Assignment,Tomas,1-236817141,37,265.8626273148148,1,200,20
2012-01-05 15:08:18,Accepted-In Progress,Tomas,1-236817141,37,51.915868055555556,1,200,20
